Nombre,Edad,Posicion,Altura (cm),Peso (kg),Partidos,Minutos,Goles,Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Disparos por Partido,Precisión de Pases (%),Duelos Aéreos Ganados,Hombre del Partido,Calificación WhoScored,Equipo
Casemiro,33,"D(C),DMC",0.0,185,84,35.0,3091,4.0,3.0,12.0,0.0,1.3,84.1,2.9,3.0,Real Madrid
Karim Benzema,37,FW,0.0,185,81,0.0,3155,21.0,8.0,0.0,0.0,3.4,86.2,0.8,10.0,Real Madrid
Eden Hazard,34,"M(CLR),FW",0.0,175,74,0.0,1088,1.0,3.0,0.0,0.0,1.2,85.9,0.4,1.0,Real Madrid
Toni Kroos,35,M(C),0.0,183,76,0.0,2656,4.0,5.0,2.0,0.0,1.6,93.5,0.3,2.0,Real Madrid
Dani Carvajal,33,D(R),0.0,173,73,31.0,2741,1.0,5.0,11.0,0.0,0.6,86.6,0.9,3.0,Real Madrid
Marcelo,36,"D(L),M(L)",0.0,173,72,15.0,1299,1.0,2.0,2.0,0.0,1.1,84.2,0.7,1.0,Real Madrid
Nacho,35,D(CLR),0.0,180,76,0.0,438,1.0,0.0,3.0,0.0,1.0,86.8,2.7,1.0,Real Madrid
Sergio Ramos,38,D(CR),0.0,184,82,35.0,3017,11.0,0.0,10.0,0.0,1.1,91.0,2.0,1.0,Real Madrid
Luka Modric,39,M(C),0.0,172,66,0.0,1998,3.0,7.0,7.0,1.0,1.0,88.6,0.4,4.0,Real Madrid
Ferland Mendy,29,"D(L),M(L)",0.0,180,73,0.0,1806,1.0,2.0,6.0,1.0,0.3,87.9,1.0,0.0,Real Madrid
Raphaël Varane,31,D(C),0.0,191,81,32.0,2823,2.0,1.0,2.0,0.0,0.3,87.3,2.5,1.0,Real Madrid
James Rodríguez,33,"AM(CLR),FW",0.0,180,75,0.0,419,1.0,1.0,1.0,0.0,1.1,82.3,0.6,0.0,Real Madrid
Éder Militão,27,D(CR),0.0,186,78,0.0,1020,0.0,0.0,3.0,0.0,0.1,87.5,2.5,0.0,Real Madrid
Thibaut Courtois,32,GK,0.0,200,96,34.0,3060,0.0,0.0,1.0,0.0,0.0,75.1,0.1,0.0,Real Madrid
Gareth Bale,35,"M(CLR),FW",0.0,186,81,0.0,1092,2.0,2.0,2.0,1.0,2.1,79.1,1.8,0.0,Real Madrid
Marco Asensio,29,"AM(CLR),FW",0.0,182,76,0.0,334,3.0,1.0,0.0,0.0,0.9,87.6,0.2,0.0,Real Madrid
Federico Valverde,26,"D(R),M(CLR)",0.0,182,78,0.0,1906,2.0,5.0,1.0,0.0,0.7,88.2,0.8,0.0,Real Madrid
Rodrygo,24,"AM(CLR),FW",0.0,174,64,0.0,1023,2.0,0.0,0.0,0.0,0.8,87.9,0.5,0.0,Real Madrid
Isco,32,"M(CLR),FW",0.0,176,79,0.0,1190,1.0,2.0,2.0,0.0,1.0,88.0,0.3,1.0,Real Madrid
Vinícius Júnior,24,"AM(L),FW",0.0,176,73,0.0,1354,3.0,1.0,4.0,0.0,1.3,80.7,0.1,2.0,Real Madrid
Lucas Vázquez,33,"D(R),M(R)",0.0,173,70,0.0,841,2.0,1.0,1.0,0.0,0.6,83.5,0.2,0.0,Real Madrid
Alphonse Areola,32,GK,0.0,195,94,4.0,360,0.0,0.0,1.0,0.0,0.0,80.4,0.3,0.0,Real Madrid
Álvaro Odriozola,29,D(R),0.0,176,66,4.0,344,0.0,1.0,1.0,1.0,0.5,91.1,0.0,0.0,Real Madrid
Luka Jovic,27,FW,0.0,181,78,0.0,422,2.0,1.0,2.0,0.0,0.8,80.6,0.9,0.0,Real Madrid
Brahim Díaz,25,"AM(CLR),FW",0.0,171,59,0.0,60,0.0,0.0,1.0,0.0,0.5,82.5,0.0,0.0,Real Madrid
Mariano Díaz,31,FW,0.0,180,76,0.0,42,1.0,0.0,1.0,0.0,1.2,71.4,0.4,0.0,Real Madrid
